A = 0000, B = 0000, Cin = 0, Cout = 0, S = 0000
A = 0001, B = 0000, Cin = 0, Cout = 0, S = 0001
A = 0001, B = 0001, Cin = 0, Cout = 0, S = 0002
A = 0001, B = 1111, Cin = 0, Cout = 0, S = 1112
A = 0001, B = aaaa, Cin = 0, Cout = 0, S = aaab
A = 0001, B = 5555, Cin = 0, Cout = 0, S = 5556
A = 0001, B = ffff, Cin = 0, Cout = 1, S = 0000
A = 0001, B = ff00, Cin = 0, Cout = 0, S = ff01
A = 0001, B = 00ff, Cin = 0, Cout = 0, S = 0100
A = 0001, B = 7fff, Cin = 0, Cout = 0, S = 8000
A = 0001, B = 8000, Cin = 0, Cout = 0, S = 8001
A = 0001, B = f9e8, Cin = 0, Cout = 0, S = f9e9
A = 0001, B = c91b, Cin = 0, Cout = 0, S = c91c
A = 0001, B = fa50, Cin = 0, Cout = 0, S = fa51
A = 0001, B = 92a3, Cin = 0, Cout = 0, S = 92a4
A = 0001, B = b84e, Cin = 0, Cout = 0, S = b84f
A = 0001, B = 7da2, Cin = 0, Cout = 0, S = 7da3
A = 0001, B = 05a5, Cin = 0, Cout = 0, S = 05a6
A = 0001, B = 6ea1, Cin = 0, Cout = 0, S = 6ea2
A = 0001, B = 6740, Cin = 0, Cout = 0, S = 6741
A = 0001, B = aa06, Cin = 0, Cout = 0, S = aa07
A = 0001, B = 7707, Cin = 0, Cout = 0, S = 7708
A = 0001, B = 661e, Cin = 0, Cout = 0, S = 661f
A = 0001, B = aa27, Cin = 0, Cout = 0, S = aa28
A = 0001, B = 9475, Cin = 0, Cout = 0, S = 9476
A = 0001, B = 3cb2, Cin = 0, Cout = 0, S = 3cb3
A = 0001, B = 5b5d, Cin = 0, Cout = 0, S = 5b5e
A = 0001, B = 2875, Cin = 0, Cout = 0, S = 2876
A = 0001, B = ab6b, Cin = 0, Cout = 0, S = ab6c
A = 0001, B = 1bcd, Cin = 0, Cout = 0, S = 1bce
A = 0001, B = 8f61, Cin = 0, Cout = 0, S = 8f62
A = 0001, B = ef5c, Cin = 0, Cout = 0, S = ef5d
A = 0001, B = e08c, Cin = 0, Cout = 0, S = e08d
A = 0001, B = be66, Cin = 0, Cout = 0, S = be67
A = 0001, B = a2ce, Cin = 0, Cout = 0, S = a2cf
A = 0001, B = 71b2, Cin = 0, Cout = 0, S = 71b3
A = 0001, B = a50d, Cin = 0, Cout = 0, S = a50e
A = 0001, B = 6c3f, Cin = 0, Cout = 0, S = 6c40
A = 0001, B = 5b04, Cin = 0, Cout = 0, S = 5b05
A = 0001, B = d88a, Cin = 0, Cout = 0, S = d88b
A = 0001, B = 1321, Cin = 0, Cout = 0, S = 1322
A = 0001, B = 5183, Cin = 0, Cout = 0, S = 5184
A = 0001, B = 90a4, Cin = 0, Cout = 0, S = 90a5
A = 0001, B = e310, Cin = 0, Cout = 0, S = e311
A = 0001, B = 3e8c, Cin = 0, Cout = 0, S = 3e8d
A = 0001, B = 5ce3, Cin = 0, Cout = 0, S = 5ce4
A = 0001, B = 1d12, Cin = 0, Cout = 0, S = 1d13
A = 0001, B = 869d, Cin = 0, Cout = 0, S = 869e
A = 0001, B = 4cad, Cin = 0, Cout = 0, S = 4cae
A = 0001, B = 7940, Cin = 0, Cout = 0, S = 7941
A = 0001, B = 0b63, Cin = 0, Cout = 0, S = 0b64
A = 0001, B = d71b, Cin = 0, Cout = 0, S = d71c
A = 0001, B = 654c, Cin = 0, Cout = 0, S = 654d
A = 0001, B = 8c4a, Cin = 0, Cout = 0, S = 8c4b
A = 0001, B = 60c5, Cin = 0, Cout = 0, S = 60c6
A = 0001, B = 0de9, Cin = 0, Cout = 0, S = 0dea
A = 0001, B = 3472, Cin = 0, Cout = 0, S = 3473
A = 0001, B = 6930, Cin = 0, Cout = 0, S = 6931
A = 0001, B = 84f7, Cin = 0, Cout = 0, S = 84f8
A = 0001, B = 363d, Cin = 0, Cout = 0, S = 363e
A = 0001, B = 62e7, Cin = 0, Cout = 0, S = 62e8
A = 0001, B = 0c50, Cin = 0, Cout = 0, S = 0c51
A = 0001, B = b32c, Cin = 0, Cout = 0, S = b32d
A = 0001, B = 22da, Cin = 0, Cout = 0, S = 22db
A = 0001, B = 27f2, Cin = 0, Cout = 0, S = 27f3
A = 0001, B = 95af, Cin = 0, Cout = 0, S = 95b0
A = 0001, B = c86f, Cin = 0, Cout = 0, S = c870
A = 0001, B = 24bd, Cin = 0, Cout = 0, S = 24be
A = 0001, B = 3eed, Cin = 0, Cout = 0, S = 3eee
A = 0001, B = 68bd, Cin = 0, Cout = 0, S = 68be
A = 0001, B = 85ce, Cin = 0, Cout = 0, S = 85cf
A = 0001, B = 9c7e, Cin = 0, Cout = 0, S = 9c7f
A = 0001, B = db66, Cin = 0, Cout = 0, S = db67
A = 0001, B = a641, Cin = 0, Cout = 0, S = a642
A = 0001, B = 75a8, Cin = 0, Cout = 0, S = 75a9
A = 0001, B = d548, Cin = 0, Cout = 0, S = d549
A = 0001, B = 31f9, Cin = 0, Cout = 0, S = 31fa
A = 0001, B = a33c, Cin = 0, Cout = 0, S = a33d
A = 0001, B = 0421, Cin = 0, Cout = 0, S = 0422
A = 0001, B = c0c2, Cin = 0, Cout = 0, S = c0c3
A = 0001, B = f89a, Cin = 0, Cout = 0, S = f89b
A = 0001, B = 173e, Cin = 0, Cout = 0, S = 173f
A = 0001, B = 4a0b, Cin = 0, Cout = 0, S = 4a0c
A = 0001, B = cdf5, Cin = 0, Cout = 0, S = cdf6
A = 0001, B = 415a, Cin = 0, Cout = 0, S = 415b
A = 0001, B = 9bbe, Cin = 0, Cout = 0, S = 9bbf
A = 0001, B = d3ad, Cin = 0, Cout = 0, S = d3ae
A = 0001, B = 7290, Cin = 0, Cout = 0, S = 7291
A = 0001, B = eea6, Cin = 0, Cout = 0, S = eea7
A = 0001, B = 433d, Cin = 0, Cout = 0, S = 433e
A = 0001, B = c25e, Cin = 0, Cout = 0, S = c25f
A = 0001, B = db5b, Cin = 0, Cout = 0, S = db5c
A = 0001, B = a379, Cin = 0, Cout = 0, S = a37a
A = 0001, B = 9d09, Cin = 0, Cout = 0, S = 9d0a
A = 0001, B = 746c, Cin = 0, Cout = 0, S = 746d
A = 0001, B = f884, Cin = 0, Cout = 0, S = f885
A = 0001, B = 860a, Cin = 0, Cout = 0, S = 860b
A = 0001, B = 9363, Cin = 0, Cout = 0, S = 9364
A = 0001, B = 8712, Cin = 0, Cout = 0, S = 8713
A = 0001, B = 62f7, Cin = 0, Cout = 0, S = 62f8
A = 0001, B = 3278, Cin = 0, Cout = 0, S = 3279
A = 1111, B = 0000, Cin = 0, Cout = 0, S = 1111
A = 1111, B = 0001, Cin = 0, Cout = 0, S = 1112
A = 1111, B = 1111, Cin = 0, Cout = 0, S = 2222
A = 1111, B = aaaa, Cin = 0, Cout = 0, S = bbbb
A = 1111, B = 5555, Cin = 0, Cout = 0, S = 6666
A = 1111, B = ffff, Cin = 0, Cout = 1, S = 1110
A = 1111, B = ff00, Cin = 0, Cout = 1, S = 1011
A = 1111, B = 00ff, Cin = 0, Cout = 0, S = 1210
A = 1111, B = 7fff, Cin = 0, Cout = 0, S = 9110
A = 1111, B = 8000, Cin = 0, Cout = 0, S = 9111
A = 1111, B = f9e8, Cin = 0, Cout = 1, S = 0af9
A = 1111, B = c91b, Cin = 0, Cout = 0, S = da2c
A = 1111, B = fa50, Cin = 0, Cout = 1, S = 0b61
A = 1111, B = 92a3, Cin = 0, Cout = 0, S = a3b4
A = 1111, B = b84e, Cin = 0, Cout = 0, S = c95f
A = 1111, B = 7da2, Cin = 0, Cout = 0, S = 8eb3
A = 1111, B = 05a5, Cin = 0, Cout = 0, S = 16b6
A = 1111, B = 6ea1, Cin = 0, Cout = 0, S = 7fb2
A = 1111, B = 6740, Cin = 0, Cout = 0, S = 7851
A = 1111, B = aa06, Cin = 0, Cout = 0, S = bb17
A = 1111, B = 7707, Cin = 0, Cout = 0, S = 8818
A = 1111, B = 661e, Cin = 0, Cout = 0, S = 772f
A = 1111, B = aa27, Cin = 0, Cout = 0, S = bb38
A = 1111, B = 9475, Cin = 0, Cout = 0, S = a586
A = 1111, B = 3cb2, Cin = 0, Cout = 0, S = 4dc3
A = 1111, B = 5b5d, Cin = 0, Cout = 0, S = 6c6e
A = 1111, B = 2875, Cin = 0, Cout = 0, S = 3986
A = 1111, B = ab6b, Cin = 0, Cout = 0, S = bc7c
A = 1111, B = 1bcd, Cin = 0, Cout = 0, S = 2cde
A = 1111, B = 8f61, Cin = 0, Cout = 0, S = a072
A = 1111, B = ef5c, Cin = 0, Cout = 1, S = 006d
A = 1111, B = e08c, Cin = 0, Cout = 0, S = f19d
A = 1111, B = be66, Cin = 0, Cout = 0, S = cf77
A = 1111, B = a2ce, Cin = 0, Cout = 0, S = b3df
A = 1111, B = 71b2, Cin = 0, Cout = 0, S = 82c3
A = 1111, B = a50d, Cin = 0, Cout = 0, S = b61e
A = 1111, B = 6c3f, Cin = 0, Cout = 0, S = 7d50
A = 1111, B = 5b04, Cin = 0, Cout = 0, S = 6c15
A = 1111, B = d88a, Cin = 0, Cout = 0, S = e99b
A = 1111, B = 1321, Cin = 0, Cout = 0, S = 2432
A = 1111, B = 5183, Cin = 0, Cout = 0, S = 6294
A = 1111, B = 90a4, Cin = 0, Cout = 0, S = a1b5
A = 1111, B = e310, Cin = 0, Cout = 0, S = f421
A = 1111, B = 3e8c, Cin = 0, Cout = 0, S = 4f9d
A = 1111, B = 5ce3, Cin = 0, Cout = 0, S = 6df4
A = 1111, B = 1d12, Cin = 0, Cout = 0, S = 2e23
A = 1111, B = 869d, Cin = 0, Cout = 0, S = 97ae
A = 1111, B = 4cad, Cin = 0, Cout = 0, S = 5dbe
A = 1111, B = 7940, Cin = 0, Cout = 0, S = 8a51
A = 1111, B = 0b63, Cin = 0, Cout = 0, S = 1c74
A = 1111, B = d71b, Cin = 0, Cout = 0, S = e82c
A = 1111, B = 654c, Cin = 0, Cout = 0, S = 765d
A = 1111, B = 8c4a, Cin = 0, Cout = 0, S = 9d5b
A = 1111, B = 60c5, Cin = 0, Cout = 0, S = 71d6
A = 1111, B = 0de9, Cin = 0, Cout = 0, S = 1efa
A = 1111, B = 3472, Cin = 0, Cout = 0, S = 4583
A = 1111, B = 6930, Cin = 0, Cout = 0, S = 7a41
A = 1111, B = 84f7, Cin = 0, Cout = 0, S = 9608
A = 1111, B = 363d, Cin = 0, Cout = 0, S = 474e
A = 1111, B = 62e7, Cin = 0, Cout = 0, S = 73f8
A = 1111, B = 0c50, Cin = 0, Cout = 0, S = 1d61
A = 1111, B = b32c, Cin = 0, Cout = 0, S = c43d
A = 1111, B = 22da, Cin = 0, Cout = 0, S = 33eb
A = 1111, B = 27f2, Cin = 0, Cout = 0, S = 3903
A = 1111, B = 95af, Cin = 0, Cout = 0, S = a6c0
A = 1111, B = c86f, Cin = 0, Cout = 0, S = d980
A = 1111, B = 24bd, Cin = 0, Cout = 0, S = 35ce
A = 1111, B = 3eed, Cin = 0, Cout = 0, S = 4ffe
A = 1111, B = 68bd, Cin = 0, Cout = 0, S = 79ce
A = 1111, B = 85ce, Cin = 0, Cout = 0, S = 96df
A = 1111, B = 9c7e, Cin = 0, Cout = 0, S = ad8f
A = 1111, B = db66, Cin = 0, Cout = 0, S = ec77
A = 1111, B = a641, Cin = 0, Cout = 0, S = b752
A = 1111, B = 75a8, Cin = 0, Cout = 0, S = 86b9
A = 1111, B = d548, Cin = 0, Cout = 0, S = e659
A = 1111, B = 31f9, Cin = 0, Cout = 0, S = 430a
A = 1111, B = a33c, Cin = 0, Cout = 0, S = b44d
A = 1111, B = 0421, Cin = 0, Cout = 0, S = 1532
A = 1111, B = c0c2, Cin = 0, Cout = 0, S = d1d3
A = 1111, B = f89a, Cin = 0, Cout = 1, S = 09ab
A = 1111, B = 173e, Cin = 0, Cout = 0, S = 284f
A = 1111, B = 4a0b, Cin = 0, Cout = 0, S = 5b1c
A = 1111, B = cdf5, Cin = 0, Cout = 0, S = df06
A = 1111, B = 415a, Cin = 0, Cout = 0, S = 526b
A = 1111, B = 9bbe, Cin = 0, Cout = 0, S = accf
A = 1111, B = d3ad, Cin = 0, Cout = 0, S = e4be
A = 1111, B = 7290, Cin = 0, Cout = 0, S = 83a1
A = 1111, B = eea6, Cin = 0, Cout = 0, S = ffb7
A = 1111, B = 433d, Cin = 0, Cout = 0, S = 544e
A = 1111, B = c25e, Cin = 0, Cout = 0, S = d36f
A = 1111, B = db5b, Cin = 0, Cout = 0, S = ec6c
A = 1111, B = a379, Cin = 0, Cout = 0, S = b48a
A = 1111, B = 9d09, Cin = 0, Cout = 0, S = ae1a
A = 1111, B = 746c, Cin = 0, Cout = 0, S = 857d
A = 1111, B = f884, Cin = 0, Cout = 1, S = 0995
A = 1111, B = 860a, Cin = 0, Cout = 0, S = 971b
A = 1111, B = 9363, Cin = 0, Cout = 0, S = a474
A = 1111, B = 8712, Cin = 0, Cout = 0, S = 9823
A = 1111, B = 62f7, Cin = 0, Cout = 0, S = 7408
A = 1111, B = 3278, Cin = 0, Cout = 0, S = 4389
A = aaaa, B = 0000, Cin = 0, Cout = 0, S = aaaa
A = aaaa, B = 0001, Cin = 0, Cout = 0, S = aaab
A = aaaa, B = 1111, Cin = 0, Cout = 0, S = bbbb
A = aaaa, B = aaaa, Cin = 0, Cout = 1, S = 5554
A = aaaa, B = 5555, Cin = 0, Cout = 0, S = ffff
A = aaaa, B = ffff, Cin = 0, Cout = 1, S = aaa9
A = aaaa, B = ff00, Cin = 0, Cout = 1, S = a9aa
A = aaaa, B = 00ff, Cin = 0, Cout = 0, S = aba9
A = aaaa, B = 7fff, Cin = 0, Cout = 1, S = 2aa9
A = aaaa, B = 8000, Cin = 0, Cout = 1, S = 2aaa
A = aaaa, B = f9e8, Cin = 0, Cout = 1, S = a492
A = aaaa, B = c91b, Cin = 0, Cout = 1, S = 73c5
A = aaaa, B = fa50, Cin = 0, Cout = 1, S = a4fa
A = aaaa, B = 92a3, Cin = 0, Cout = 1, S = 3d4d
A = aaaa, B = b84e, Cin = 0, Cout = 1, S = 62f8
A = aaaa, B = 7da2, Cin = 0, Cout = 1, S = 284c
A = aaaa, B = 05a5, Cin = 0, Cout = 0, S = b04f
A = aaaa, B = 6ea1, Cin = 0, Cout = 1, S = 194b
A = aaaa, B = 6740, Cin = 0, Cout = 1, S = 11ea
A = aaaa, B = aa06, Cin = 0, Cout = 1, S = 54b0
A = aaaa, B = 7707, Cin = 0, Cout = 1, S = 21b1
A = aaaa, B = 661e, Cin = 0, Cout = 1, S = 10c8
A = aaaa, B = aa27, Cin = 0, Cout = 1, S = 54d1
A = aaaa, B = 9475, Cin = 0, Cout = 1, S = 3f1f
A = aaaa, B = 3cb2, Cin = 0, Cout = 0, S = e75c
A = aaaa, B = 5b5d, Cin = 0, Cout = 1, S = 0607
A = aaaa, B = 2875, Cin = 0, Cout = 0, S = d31f
A = aaaa, B = ab6b, Cin = 0, Cout = 1, S = 5615
A = aaaa, B = 1bcd, Cin = 0, Cout = 0, S = c677
A = aaaa, B = 8f61, Cin = 0, Cout = 1, S = 3a0b
A = aaaa, B = ef5c, Cin = 0, Cout = 1, S = 9a06
A = aaaa, B = e08c, Cin = 0, Cout = 1, S = 8b36
A = aaaa, B = be66, Cin = 0, Cout = 1, S = 6910
A = aaaa, B = a2ce, Cin = 0, Cout = 1, S = 4d78
A = aaaa, B = 71b2, Cin = 0, Cout = 1, S = 1c5c
A = aaaa, B = a50d, Cin = 0, Cout = 1, S = 4fb7
A = aaaa, B = 6c3f, Cin = 0, Cout = 1, S = 16e9
A = aaaa, B = 5b04, Cin = 0, Cout = 1, S = 05ae
A = aaaa, B = d88a, Cin = 0, Cout = 1, S = 8334
A = aaaa, B = 1321, Cin = 0, Cout = 0, S = bdcb
A = aaaa, B = 5183, Cin = 0, Cout = 0, S = fc2d
A = aaaa, B = 90a4, Cin = 0, Cout = 1, S = 3b4e
A = aaaa, B = e310, Cin = 0, Cout = 1, S = 8dba
A = aaaa, B = 3e8c, Cin = 0, Cout = 0, S = e936
A = aaaa, B = 5ce3, Cin = 0, Cout = 1, S = 078d
A = aaaa, B = 1d12, Cin = 0, Cout = 0, S = c7bc
A = aaaa, B = 869d, Cin = 0, Cout = 1, S = 3147
A = aaaa, B = 4cad, Cin = 0, Cout = 0, S = f757
A = aaaa, B = 7940, Cin = 0, Cout = 1, S = 23ea
A = aaaa, B = 0b63, Cin = 0, Cout = 0, S = b60d
A = aaaa, B = d71b, Cin = 0, Cout = 1, S = 81c5
A = aaaa, B = 654c, Cin = 0, Cout = 1, S = 0ff6
A = aaaa, B = 8c4a, Cin = 0, Cout = 1, S = 36f4
A = aaaa, B = 60c5, Cin = 0, Cout = 1, S = 0b6f
A = aaaa, B = 0de9, Cin = 0, Cout = 0, S = b893
A = aaaa, B = 3472, Cin = 0, Cout = 0, S = df1c
A = aaaa, B = 6930, Cin = 0, Cout = 1, S = 13da
A = aaaa, B = 84f7, Cin = 0, Cout = 1, S = 2fa1
A = aaaa, B = 363d, Cin = 0, Cout = 0, S = e0e7
A = aaaa, B = 62e7, Cin = 0, Cout = 1, S = 0d91
A = aaaa, B = 0c50, Cin = 0, Cout = 0, S = b6fa
A = aaaa, B = b32c, Cin = 0, Cout = 1, S = 5dd6
A = aaaa, B = 22da, Cin = 0, Cout = 0, S = cd84
A = aaaa, B = 27f2, Cin = 0, Cout = 0, S = d29c
A = aaaa, B = 95af, Cin = 0, Cout = 1, S = 4059
A = aaaa, B = c86f, Cin = 0, Cout = 1, S = 7319
A = aaaa, B = 24bd, Cin = 0, Cout = 0, S = cf67
A = aaaa, B = 3eed, Cin = 0, Cout = 0, S = e997
A = aaaa, B = 68bd, Cin = 0, Cout = 1, S = 1367
A = aaaa, B = 85ce, Cin = 0, Cout = 1, S = 3078
A = aaaa, B = 9c7e, Cin = 0, Cout = 1, S = 4728
A = aaaa, B = db66, Cin = 0, Cout = 1, S = 8610
A = aaaa, B = a641, Cin = 0, Cout = 1, S = 50eb
A = aaaa, B = 75a8, Cin = 0, Cout = 1, S = 2052
A = aaaa, B = d548, Cin = 0, Cout = 1, S = 7ff2
A = aaaa, B = 31f9, Cin = 0, Cout = 0, S = dca3
A = aaaa, B = a33c, Cin = 0, Cout = 1, S = 4de6
A = aaaa, B = 0421, Cin = 0, Cout = 0, S = aecb
A = aaaa, B = c0c2, Cin = 0, Cout = 1, S = 6b6c
A = aaaa, B = f89a, Cin = 0, Cout = 1, S = a344
A = aaaa, B = 173e, Cin = 0, Cout = 0, S = c1e8
A = aaaa, B = 4a0b, Cin = 0, Cout = 0, S = f4b5
A = aaaa, B = cdf5, Cin = 0, Cout = 1, S = 789f
A = aaaa, B = 415a, Cin = 0, Cout = 0, S = ec04
A = aaaa, B = 9bbe, Cin = 0, Cout = 1, S = 4668
A = aaaa, B = d3ad, Cin = 0, Cout = 1, S = 7e57
A = aaaa, B = 7290, Cin = 0, Cout = 1, S = 1d3a
A = aaaa, B = eea6, Cin = 0, Cout = 1, S = 9950
A = aaaa, B = 433d, Cin = 0, Cout = 0, S = ede7
A = aaaa, B = c25e, Cin = 0, Cout = 1, S = 6d08
A = aaaa, B = db5b, Cin = 0, Cout = 1, S = 8605
A = aaaa, B = a379, Cin = 0, Cout = 1, S = 4e23
A = aaaa, B = 9d09, Cin = 0, Cout = 1, S = 47b3
A = aaaa, B = 746c, Cin = 0, Cout = 1, S = 1f16
A = aaaa, B = f884, Cin = 0, Cout = 1, S = a32e
A = aaaa, B = 860a, Cin = 0, Cout = 1, S = 30b4
A = aaaa, B = 9363, Cin = 0, Cout = 1, S = 3e0d
A = aaaa, B = 8712, Cin = 0, Cout = 1, S = 31bc
A = aaaa, B = 62f7, Cin = 0, Cout = 1, S = 0da1
A = aaaa, B = 3278, Cin = 0, Cout = 0, S = dd22
A = 5555, B = 0000, Cin = 0, Cout = 0, S = 5555
A = 5555, B = 0001, Cin = 0, Cout = 0, S = 5556
A = 5555, B = 1111, Cin = 0, Cout = 0, S = 6666
A = 5555, B = aaaa, Cin = 0, Cout = 0, S = ffff
A = 5555, B = 5555, Cin = 0, Cout = 0, S = aaaa
A = 5555, B = ffff, Cin = 0, Cout = 1, S = 5554
A = 5555, B = ff00, Cin = 0, Cout = 1, S = 5455
A = 5555, B = 00ff, Cin = 0, Cout = 0, S = 5654
A = 5555, B = 7fff, Cin = 0, Cout = 0, S = d554
A = 5555, B = 8000, Cin = 0, Cout = 0, S = d555
A = 5555, B = f9e8, Cin = 0, Cout = 1, S = 4f3d
A = 5555, B = c91b, Cin = 0, Cout = 1, S = 1e70
A = 5555, B = fa50, Cin = 0, Cout = 1, S = 4fa5
A = 5555, B = 92a3, Cin = 0, Cout = 0, S = e7f8
A = 5555, B = b84e, Cin = 0, Cout = 1, S = 0da3
A = 5555, B = 7da2, Cin = 0, Cout = 0, S = d2f7
A = 5555, B = 05a5, Cin = 0, Cout = 0, S = 5afa
A = 5555, B = 6ea1, Cin = 0, Cout = 0, S = c3f6
A = 5555, B = 6740, Cin = 0, Cout = 0, S = bc95
A = 5555, B = aa06, Cin = 0, Cout = 0, S = ff5b
